test_year,score,weather_stratum,budget_share,test_component_records,target_records,selected_component_records,captured_target_records,capture_rate,selected_target_rate,overall_target_rate,lift,event_deduplicated_cost_capture,event_deduplicated_aos_capture,selected_event_deduplicated_cost,total_event_deduplicated_cost,selected_event_deduplicated_aos,total_event_deduplicated_aos
2001,component_transition_score,precipitation,0.05,153,11,8,4,0.36363636363636365,0.5,0.0718954248366013,6.954545454545455,0.23809523809523808,0.043355325164938736,90700.0,380940.0,46.0,1061.0
2001,component_transition_score,precipitation,0.1,153,11,16,8,0.7272727272727273,0.5,0.0718954248366013,6.954545454545455,1.0,0.9934024505183789,380940.0,380940.0,1054.0,1061.0
2001,component_transition_score,low ceiling,0.05,336,40,17,9,0.225,0.5294117647058824,0.11904761904761904,4.447058823529412,0.7242390745697647,0.3161512027491409,663705.0,916417.0,92.0,291.0
2001,component_transition_score,low ceiling,0.1,336,40,34,19,0.475,0.5588235294117647,0.11904761904761904,4.694117647058824,0.9970308276690634,0.865979381443299,913696.0,916417.0,252.0,291.0
2001,weather_severity_only,all matched,0.05,1386,189,70,9,0.047619047619047616,0.12857142857142856,0.13636363636363635,0.9428571428571428,0.0004769997295511456,0.018553459119496855,10884.0,22817623.0,59.0,3180.0
2001,weather_severity_only,all matched,0.1,1386,189,139,13,0.06878306878306878,0.09352517985611511,0.13636363636363635,0.6858513189448442,0.013196992517581696,0.33679245283018866,301124.0,22817623.0,1071.0,3180.0
2001,component_weather_transition_score,all matched,0.05,1386,189,70,40,0.21164021164021163,0.5714285714285714,0.13636363636363635,4.190476190476191,0.7570479624455185,0.18647798742138363,17274035.0,22817623.0,593.0,3180.0
2001,component_weather_transition_score,all matched,0.1,1386,189,139,56,0.2962962962962963,0.4028776978417266,0.13636363636363635,2.954436450839329,0.8171715783015611,0.21163522012578617,18645913.0,22817623.0,673.0,3180.0
2002,component_transition_score,all matched,0.05,1824,241,92,63,0.26141078838174275,0.6847826086956522,0.13212719298245615,5.182753021829335,0.5605491846781637,0.43698668932313794,9772772.0,17434281.0,3086.0,7062.0
2002,component_transition_score,all matched,0.1,1824,241,183,106,0.43983402489626555,0.5792349726775956,0.13212719298245615,4.383919461261138,0.8166322431077025,0.7017841971112999,14237396.0,17434281.0,4956.0,7062.0
2002,component_transition_score,normal weather,0.05,1264,160,64,44,0.275,0.6875,0.12658227848101267,5.4312499999999995,0.5686120823407325,0.7052824267782427,8665560.0,15239845.0,2697.0,3824.0
2002,component_transition_score,normal weather,0.1,1264,160,127,75,0.46875,0.5905511811023622,0.12658227848101267,4.665354330708661,0.8041815385917639,0.7601987447698745,12255602.0,15239845.0,2907.0,3824.0
2002,component_transition_score,adverse weather,0.05,560,81,28,21,0.25925925925925924,0.75,0.14464285714285716,5.185185185185185,0.5045542453732986,0.12013588634959851,1107212.0,2194436.0,389.0,3238.0
2002,component_transition_score,adverse weather,0.1,560,81,56,31,0.38271604938271603,0.5535714285714286,0.14464285714285716,3.82716049382716,0.9030994752182337,0.6327980234712786,1981794.0,2194436.0,2049.0,3238.0
2002,component_transition_score,low visibility,0.05,78,14,4,3,0.21428571428571427,0.75,0.1794871794871795,4.178571428571429,0.8624154083059326,0.5980327868852459,401557.0,465619.0,912.0,1525.0
2002,component_transition_score,low visibility,0.1,78,14,8,5,0.35714285714285715,0.625,0.1794871794871795,3.482142857142857,0.8624154083059326,0.6032786885245902,401557.0,465619.0,920.0,1525.0
2002,component_transition_score,precipitation,0.05,178,28,9,6,0.21428571428571427,0.6666666666666666,0.15730337078651685,4.238095238095238,0.8131518935287301,0.6808972503617945,435020.0,534980.0,941.0,1382.0
2002,component_transition_score,precipitation,0.1,178,28,18,9,0.32142857142857145,0.5,0.15730337078651685,3.178571428571429,0.8698736401360798,0.7170767004341534,465365.0,534980.0,991.0,1382.0
2002,component_transition_score,low ceiling,0.05,483,71,25,19,0.2676056338028169,0.76,0.14699792960662525,5.1701408450704225,0.5010207066976557,0.11911623439000961,1073749.0,2143123.0,372.0,3123.0
2002,component_transition_score,low ceiling,0.1,483,71,49,27,0.38028169014084506,0.5510204081632653,0.14699792960662525,3.7484909456740443,0.9007793766386717,0.6404098623118796,1930481.0,2143123.0,2000.0,3123.0
2002,weather_severity_only,all matched,0.05,1824,241,92,19,0.07883817427385892,0.20652173913043478,0.13212719298245615,1.563052498646942,0.026707095061734982,0.21750212404418012,465619.0,17434281.0,1536.0,7062.0
2002,weather_severity_only,all matched,0.1,1824,241,183,28,0.11618257261410789,0.15300546448087432,0.13212719298245615,1.1580164614652064,0.028857169389434528,0.23024638912489379,503104.0,17434281.0,1626.0,7062.0
2002,component_weather_transition_score,all matched,0.05,1824,241,92,52,0.2157676348547718,0.5652173913043478,0.13212719298245615,4.277827891033736,0.5136916171076972,0.09345794392523364,8955844.0,17434281.0,660.0,7062.0
2002,component_weather_transition_score,all matched,0.1,1824,241,183,88,0.3651452282157676,0.4808743169398907,0.13212719298245615,3.639480307462077,0.5999114617918571,0.13565562163693004,10459025.0,17434281.0,958.0,7062.0
2003,component_transition_score,all matched,0.05,2072,204,104,56,0.27450980392156865,0.5384615384615384,0.09845559845559845,5.469079939668175,0.7837292856631516,0.19495275684726707,9031951.0,11524325.0,1630.0,8361.0
2003,component_transition_score,all matched,0.1,2072,204,208,78,0.38235294117647056,0.375,0.09845559845559845,3.808823529411765,0.7925207767049263,0.22509269226169118,9133267.0,11524325.0,1882.0,8361.0
