test_year,dimension,stratum,score,budget_share,test_component_records,target_records,selected_component_records,captured_target_records,capture_rate,selected_target_rate,overall_target_rate,lift,event_deduplicated_cost_capture,event_deduplicated_aos_capture,selected_event_deduplicated_cost,total_event_deduplicated_cost,selected_event_deduplicated_aos,total_event_deduplicated_aos
2012,source,operator or pilot source,hierarchical_review_rule,0.05,280,15,14,4,0.26666666666666666,0.2857142857142857,0.05357142857142857,5.333333333333333,0.7385454201924504,0.0,109448.0,148194.0,0.0,35.0
2012,source,operator or pilot source,hierarchical_review_rule,0.1,280,15,28,5,0.3333333333333333,0.17857142857142858,0.05357142857142857,3.3333333333333335,0.7385454201924504,0.0,109448.0,148194.0,0.0,35.0
2012,source,other source,hierarchical_review_rule,0.05,917,243,46,36,0.14814814814814814,0.782608695652174,0.2649945474372955,2.953301127214171,0.4177765224270754,0.6802863107664778,8173486.0,19564254.0,15967.0,23471.0
2012,source,other source,hierarchical_review_rule,0.1,917,243,92,73,0.3004115226337449,0.7934782608695652,0.2649945474372955,2.9943191984254787,0.4650724735019286,0.737122406373823,9098796.0,19564254.0,17301.0,23471.0
2012,period,2009-2019,hierarchical_review_rule,0.05,9097,776,455,237,0.30541237113402064,0.5208791208791209,0.08530284709244806,6.1062337147388694,0.5780178103308934,0.6003154998941921,20722446.0,35850878.0,31205.0,51981.0
2012,period,2009-2019,hierarchical_review_rule,0.1,9097,776,910,399,0.5141752577319587,0.43846153846153846,0.08530284709244806,5.140057494052339,0.7991396472912045,0.8341894153633058,28649858.0,35850878.0,43362.0,51981.0
2013,species,known species,hierarchical_review_rule,0.05,5918,588,296,200,0.3401360544217687,0.6756756756756757,0.09935789117945251,6.800422871851444,0.5667832208555279,0.7084440809650379,11630755.0,20520641.0,34650.0,48910.0
2013,species,known species,hierarchical_review_rule,0.1,5918,588,592,319,0.5425170068027211,0.5388513513513513,0.09935789117945251,5.423337240301526,0.7485708170617087,0.8107953383766101,15361153.0,20520641.0,39656.0,48910.0
2013,species,unknown species,hierarchical_review_rule,0.05,3235,160,162,69,0.43125,0.42592592592592593,0.04945904173106646,8.611689814814815,0.2883930608384042,0.802287166454892,1080815.0,3747715.0,9471.0,11805.0
2013,species,unknown species,hierarchical_review_rule,0.1,3235,160,324,103,0.64375,0.31790123456790126,0.04945904173106646,6.427565586419754,0.38197328238673434,0.8922490470139771,1431527.0,3747715.0,10533.0,11805.0
2013,size,known size,hierarchical_review_rule,0.05,8287,678,415,253,0.37315634218289084,0.6096385542168675,0.08181489079280801,7.45143760884245,0.5293093314769656,0.7582758802168307,11934473.0,22547256.0,43224.0,57003.0
2013,size,known size,hierarchical_review_rule,0.1,8287,678,829,406,0.5988200589970502,0.4897466827503016,0.08181489079280801,5.986033569250368,0.7006115954863864,0.8613932600038594,15796869.0,22547256.0,49102.0,57003.0
2013,size,unknown size,hierarchical_review_rule,0.05,866,70,44,18,0.2571428571428571,0.4090909090909091,0.08083140877598152,5.061038961038961,0.46406890941839524,0.2130926724137931,798709.0,1721100.0,791.0,3712.0
2013,size,unknown size,hierarchical_review_rule,0.1,866,70,87,32,0.45714285714285713,0.367816091954023,0.08083140877598152,4.550410509031199,0.5449933182267155,0.4504310344827586,937988.0,1721100.0,1672.0,3712.0
