airport_id,year,candidate_component_records,matched_component_records,weather_observations
BNA,2016,121,119,8758
BNA,2017,139,136,8732
BNA,2018,128,126,8733
BNA,2019,140,128,8732
BNA,2020,81,67,8752
BNA,2021,123,119,8726
BNA,2022,144,134,8731
BNA,2023,166,146,8737
BNA,2024,196,187,8760
BNA,2025,220,212,8729
BOS,2000,70,13,8709
BOS,2001,51,28,8725
BOS,2002,64,39,8706
BOS,2003,46,19,8721
BOS,2004,68,41,8684
BOS,2005,50,32,8732
BOS,2006,61,48,8729
BOS,2007,59,52,8706
BOS,2008,56,51,8755
BOS,2009,56,48,8727
BOS,2010,83,67,8726
BOS,2011,97,90,8723
BOS,2012,87,79,8754
BOS,2013,100,90,8732
BOS,2014,67,60,8715
BOS,2015,85,71,8710
BOS,2016,102,98,8747
BOS,2017,90,90,8709
BOS,2018,110,110,8722
BOS,2019,118,111,8717
BOS,2020,53,50,8750
BOS,2021,91,87,8722
BOS,2022,157,152,8728
BOS,2023,156,118,8735
BOS,2024,139,139,8760
BOS,2025,174,173,8698
PDX,2000,62,45,8680
PDX,2001,53,41,8719
PDX,2002,53,44,8612
PDX,2003,42,28,8725
PDX,2004,68,49,8678
PDX,2005,55,36,8557
PDX,2006,65,56,8735
PDX,2007,69,60,7342
PDX,2008,55,52,8741
PDX,2009,69,61,8722
PDX,2010,58,47,8720
PDX,2011,45,41,8711
PDX,2012,83,81,8754
PDX,2013,60,56,8720
PDX,2014,89,84,8725
PDX,2015,71,68,8712
PDX,2016,86,84,8751
PDX,2017,75,71,8709
PDX,2018,70,67,8717
PDX,2019,83,75,8728
PDX,2020,60,60,8743
PDX,2021,81,78,8728
PDX,2022,70,69,8726
PDX,2023,90,77,8735
PDX,2024,84,82,8753
PDX,2025,124,120,8727
BWI,2000,44,19,8670
BWI,2001,46,18,8697
BWI,2002,68,41,8717
BWI,2003,63,37,8693
BWI,2004,72,47,8711
BWI,2005,71,47,8711
BWI,2006,34,25,8705
BWI,2007,71,51,8682
BWI,2008,58,44,8745
BWI,2009,100,79,8714
BWI,2010,92,75,8723
BWI,2011,83,79,8726
BWI,2012,102,99,8757
BWI,2013,91,85,8722
BWI,2014,111,107,8721
BWI,2015,121,114,8696
BWI,2016,122,115,8749
BWI,2017,83,74,8731
BWI,2018,110,106,8713
BWI,2019,101,86,8729
BWI,2020,62,55,8747
BWI,2021,73,69,8721
BWI,2022,83,71,8726
BWI,2023,140,123,8732
BWI,2024,121,119,8753
BWI,2025,172,169,8728
IAD,2000,112,32,8708
IAD,2001,111,36,8653
IAD,2002,97,44,8659
IAD,2003,78,27,8664
IAD,2004,90,40,8635
IAD,2005,91,42,8147
IAD,2006,97,74,8288
IAD,2007,94,59,8663
IAD,2008,75,51,8738
IAD,2009,81,66,8714
IAD,2010,87,74,8717
IAD,2011,80,52,8728
IAD,2012,61,51,8752
IAD,2013,91,84,8716
IAD,2014,93,84,8724
IAD,2015,92,79,8668
IAD,2016,71,67,8754
IAD,2017,61,54,8722
IAD,2018,57,49,8671
IAD,2019,60,48,8712
IAD,2020,40,31,8742
IAD,2021,59,51,8727
IAD,2022,61,60,8721
IAD,2023,75,65,8734
IAD,2024,69,61,8747
IAD,2025,99,94,8720
CLE,2000,27,8,8653
CLE,2001,17,9,8727
CLE,2002,9,3,8714
CLE,2003,19,7,8730
CLE,2004,33,22,8753
CLE,2005,36,26,8732
CLE,2006,34,21,8733
CLE,2007,45,35,8728
CLE,2008,55,47,8749
CLE,2009,62,47,8727
CLE,2010,84,72,8732
CLE,2011,53,49,8766
CLE,2012,72,58,8754
CLE,2013,81,68,8709
CLE,2014,48,44,8723
CLE,2015,55,47,8708
CLE,2016,69,67,8752
CLE,2017,61,58,8721
CLE,2018,71,70,8705
CLE,2019,95,89,8729
CLE,2020,37,34,8742
CLE,2021,82,80,8722
CLE,2022,76,73,8724
CLE,2023,74,49,8733
CLE,2024,104,99,8755
CLE,2025,103,101,8718
DAL,2000,20,4,8712
DAL,2001,26,6,8689
DAL,2002,17,4,8681
DAL,2003,32,11,8671
DAL,2004,31,24,8700
DAL,2005,27,15,8734
DAL,2006,22,15,8734
DAL,2007,37,27,8732
DAL,2008,50,38,8758
DAL,2009,62,45,8734
DAL,2010,50,41,8735
DAL,2011,59,54,8825
DAL,2012,58,53,8759
DAL,2013,68,64,8735
DAL,2014,63,58,8734
DAL,2015,87,81,8735
DAL,2016,82,77,8760
DAL,2017,88,79,8734
DAL,2018,93,88,8730
DAL,2019,83,75,8735
DAL,2020,51,48,8760
DAL,2021,57,53,8736
DAL,2022,78,70,8730
DAL,2023,123,105,8735
DAL,2024,106,102,8764
DAL,2025,182,181,8734
MSP,2000,44,19,8730
MSP,2001,37,22,8731
MSP,2002,41,21,8730
MSP,2003,32,19,8722
MSP,2004,42,23,8748
MSP,2005,40,21,8732
MSP,2006,47,36,8733
MSP,2007,83,65,8693
MSP,2008,58,42,8722
MSP,2009,85,67,8729
MSP,2010,93,89,8722
MSP,2011,81,67,8731
MSP,2012,95,81,8753
MSP,2013,76,71,8722
MSP,2014,102,94,8726
MSP,2015,83,77,8705
MSP,2016,64,63,8753
MSP,2017,62,61,8726
MSP,2018,83,81,8708
MSP,2019,71,65,8723
MSP,2020,30,29,8746
MSP,2021,70,65,8726
MSP,2022,120,112,8728
MSP,2023,78,66,8735
MSP,2024,76,73,8753
MSP,2025,92,91,8675
SFO,2000,65,13,8596
SFO,2001,71,5,8700
SFO,2002,89,24,8693
SFO,2003,74,29,8714
SFO,2004,88,24,8749
SFO,2005,73,31,8734
SFO,2006,79,64,8731
SFO,2007,68,47,8730
SFO,2008,59,36,8756
SFO,2009,80,65,8734
SFO,2010,71,64,8733
SFO,2011,102,89,8738
SFO,2012,120,109,8757
SFO,2013,88,81,8730
SFO,2014,79,75,8734
SFO,2015,77,73,8732
SFO,2016,69,66,8756
SFO,2017,130,126,8735
SFO,2018,113,112,8731
SFO,2019,64,62,8732
SFO,2020,39,39,8756
SFO,2021,75,75,8734
SFO,2022,85,84,8730
SFO,2023,110,88,8735
SFO,2024,140,132,8757
SFO,2025,107,101,8726
IND,2000,36,21,8630
IND,2001,37,18,8575
IND,2002,37,22,8657
IND,2003,46,31,8724
IND,2004,63,54,8732
IND,2005,65,51,8683
IND,2006,54,39,5333
IND,2007,61,58,8731
IND,2008,68,62,8752
IND,2009,75,65,8732
IND,2010,62,58,8734
IND,2011,67,63,8742
IND,2012,81,76,8753
IND,2013,45,42,8732
IND,2014,75,70,8731
IND,2015,65,61,8735
IND,2016,64,58,8760
IND,2017,62,57,8734
IND,2018,73,71,8735
IND,2019,88,82,8732
IND,2020,61,59,8758
IND,2021,68,64,8733
IND,2022,100,92,8735
IND,2023,101,89,8742
IND,2024,105,103,8761
IND,2025,160,156,8725
FLL,2000,32,14,8722
FLL,2001,24,14,8680
FLL,2002,31,18,8675
FLL,2003,42,31,8659
FLL,2004,24,18,8709
FLL,2005,32,24,8717
FLL,2006,49,41,8730
