target,score,budget_share,train_window,first_test_year,last_test_year,num_test_years,test_component_records,target_records,selected_component_records,captured_target_records,pooled_capture_rate,pooled_selected_target_rate,pooled_overall_target_rate,pooled_lift,mean_annual_capture_rate,mean_annual_lift
event_hard,component_phase_size_rate,0.1,5,1995,2025,31,273838,55363,27395,17501,0.3161136499105901,0.6388392042343494,0.2021742782228909,3.1598441198837808,0.30946268158580786,3.0929875667599322
event_hard,species_phase_size_rate,0.1,5,1995,2025,31,273838,55363,27395,16414,0.29647959828766507,0.5991604307355357,0.2021742782228909,2.9635838742798915,0.29139924558980085,2.912421092310795
event_hard,phase_size_rate,0.1,5,1995,2025,31,273838,55363,27395,16151,0.2917291331755866,0.5895601387114437,0.2021742782228909,2.916098644662759,0.2857303666059748,2.855791975306599
event_hard,component_only_rate,0.1,5,1995,2025,31,273838,55363,27395,11229,0.20282499142026264,0.40989231611607957,0.2021742782228909,2.0274206972272997,0.20331351081253077,2.032001753218919
event_hard,component_phase_size_mass_frequency,0.1,5,1995,2025,31,273838,55363,27395,2263,0.04087567508986146,0.08260631502098924,0.2021742782228909,0.4085896373519797,0.04424283828891811,0.4421038676365002
event_hard,component_phase_size_mass_rate,0.2,5,1995,2025,31,273838,55363,54779,29659,0.535718801365533,0.5414301100786798,0.2021742782228909,2.6780365674498405,0.5275929125097103,2.6372527778990973
event_hard,component_phase_size_rate,0.2,5,1995,2025,31,273838,55363,54779,28037,0.5064212560735509,0.5118202230781869,0.2021742782228909,2.5315793263964115,0.5019581877210538,2.509102540848929
event_hard,species_phase_size_rate,0.2,5,1995,2025,31,273838,55363,54779,25644,0.46319744233513355,0.46813559940853244,0.2021742782228909,2.3155052340161064,0.45984698346965397,2.2986014954205243
event_hard,phase_size_rate,0.2,5,1995,2025,31,273838,55363,54779,24617,0.444647147011542,0.44938753902042755,0.2021742782228909,2.2227730598102675,0.43854256905366107,2.1921120879042713
event_hard,component_only_rate,0.2,5,1995,2025,31,273838,55363,54779,19811,0.35783826743492947,0.36165318826557624,0.2021742782228909,1.7888189904497382,0.3603266381279703,1.8011202430272144
event_hard,component_phase_size_mass_frequency,0.2,5,1995,2025,31,273838,55363,54779,4180,0.07550168885356646,0.07630661384837255,0.2021742782228909,0.37742988138306527,0.07880665146170059,0.3939014481475315
part_damage,species_phase_size_rate,0.01,5,1995,2025,31,273838,22992,2752,1918,0.08342032011134308,0.6969476744186046,0.08396205055543789,8.300746227707108,0.0827164010633951,8.225705433040353
part_damage,component_phase_size_mass_rate,0.01,5,1995,2025,31,273838,22992,2752,1840,0.08002783576896312,0.6686046511627907,0.08396205055543789,7.963176777362398,0.07906467887500522,7.863346914387162
part_damage,component_phase_size_rate,0.01,5,1995,2025,31,273838,22992,2752,1733,0.0753740431454419,0.6297238372093024,0.08396205055543789,7.500100736504912,0.07444227842444416,7.404752842301472
part_damage,phase_size_rate,0.01,5,1995,2025,31,273838,22992,2752,1341,0.05832463465553236,0.48728197674418605,0.08396205055543789,5.803597857849444,0.05788319576888422,5.7547882265122166
part_damage,component_only_rate,0.01,5,1995,2025,31,273838,22992,2752,1272,0.055323590814196244,0.4622093023255814,0.08396205055543789,5.504978728698354,0.05525185271387757,5.491880273573881
