test_year,train_start,train_end,train_window,target,score,budget_share,test_component_records,target_records,selected_component_records,captured_target_records,capture_rate,selected_target_rate,overall_target_rate,lift
2019,2014,2018,5,event_hard,component_phase_size_mass_frequency,0.05,13667,2426,684,63,0.025968672712283595,0.09210526315789473,0.17750786566181312,0.5188798976005554
2019,2014,2018,5,event_hard,component_phase_size_mass_frequency,0.1,13667,2426,1367,120,0.0494641384995878,0.08778346744696415,0.17750786566181312,0.4945328316560837
2019,2014,2018,5,event_hard,component_phase_size_mass_frequency,0.2,13667,2426,2734,176,0.07254740313272877,0.06437454279444038,0.17750786566181312,0.3626574098811281
2020,2015,2019,5,part_damage,phase_size_rate,0.01,8269,558,83,34,0.06093189964157706,0.40963855421686746,0.0674809529568267,6.070432266701213
2020,2015,2019,5,part_damage,phase_size_rate,0.05,8269,558,414,137,0.24551971326164876,0.3309178743961353,0.0674809529568267,4.903870794590758
2020,2015,2019,5,part_damage,phase_size_rate,0.1,8269,558,827,252,0.45161290322580644,0.3047158403869408,0.0674809529568267,4.5155829465226045
2020,2015,2019,5,part_damage,phase_size_rate,0.2,8269,558,1654,375,0.6720430107526881,0.2267230955259976,0.0674809529568267,3.359808739972176
2020,2015,2019,5,part_damage,species_phase_size_rate,0.01,8269,558,83,63,0.11290322580645161,0.7590361445783133,0.0674809529568267,11.248153905946367
2020,2015,2019,5,part_damage,species_phase_size_rate,0.05,8269,558,414,172,0.30824372759856633,0.41545893719806765,0.0674809529568267,6.156684501238032
2020,2015,2019,5,part_damage,species_phase_size_rate,0.1,8269,558,827,266,0.4767025089605735,0.3216444981862152,0.0674809529568267,4.76644866577386
2020,2015,2019,5,part_damage,species_phase_size_rate,0.2,8269,558,1654,381,0.6827956989247311,0.23035066505441354,0.0674809529568267,3.4135656798117306
2020,2015,2019,5,part_damage,component_only_rate,0.01,8269,558,83,30,0.053763440860215055,0.3614457831325301,0.0674809529568267,5.356263764736365
2020,2015,2019,5,part_damage,component_only_rate,0.05,8269,558,414,65,0.11648745519713262,0.1570048309178744,0.0674809529568267,2.3266540266306515
2020,2015,2019,5,part_damage,component_only_rate,0.1,8269,558,827,129,0.23118279569892472,0.15598548972188633,0.0674809529568267,2.311548413100857
2020,2015,2019,5,part_damage,component_only_rate,0.2,8269,558,1654,242,0.4336917562724014,0.14631197097944376,0.0674809529568267,2.1681965735287108
2020,2015,2019,5,part_damage,component_phase_size_rate,0.01,8269,558,83,47,0.08422939068100359,0.5662650602409639,0.0674809529568267,8.391479898086972
2020,2015,2019,5,part_damage,component_phase_size_rate,0.05,8269,558,414,194,0.34767025089605735,0.46859903381642515,0.0674809529568267,6.9441674025591755
2020,2015,2019,5,part_damage,component_phase_size_rate,0.1,8269,558,827,302,0.5412186379928315,0.3651753325272068,0.0674809529568267,5.4115319438485185
2020,2015,2019,5,part_damage,component_phase_size_rate,0.2,8269,558,1654,401,0.7186379928315412,0.24244256348246676,0.0674809529568267,3.5927554792769136
