component,phase_bucket,size,aircraft_mass_class,added_component_units,unique_events,component_damage_units,unit_level_event_consequence,unique_event_consequence,associated_event_cost,event_dedup_cost_within_combo,associated_event_aos,event_dedup_aos_within_combo
wing_rotor,departure,UNKNOWN,2,10,10,6,10,10,90118.0,90118.0,7.0,7.0
tail,arrival,MEDIUM,1,16,16,6,16,16,62054.0,62054.0,200.0,200.0
wing_rotor,unknown,UNKNOWN,2,11,11,6,11,11,7800.0,7800.0,138.0,138.0
windshield,enroute,UNKNOWN,1,17,17,6,17,17,2775.0,2775.0,171.9,171.9
engine,departure,LARGE,1,14,14,5,14,14,806261.0,806261.0,7301.0,7301.0
fuselage,enroute,LARGE,2,10,10,5,10,10,88696.0,88696.0,561.0,561.0
tail,enroute,LARGE,1,7,7,5,7,7,13306.0,13306.0,0.0,0.0
engine,unknown,LARGE,4,6,6,5,6,6,0.0,0.0,20.0,20.0
lights,arrival,UNKNOWN,1,6,6,5,6,6,0.0,0.0,0.0,0.0
wing_rotor,enroute,LARGE,3,4,4,4,4,4,1023800.0,1023800.0,219.3,219.3
lights,departure,SMALL,3,9,9,4,9,9,791598.0,791598.0,341.0,341.0
engine,departure,SMALL,3,6,6,4,6,6,553500.0,553500.0,425.0,425.0
engine,departure,MEDIUM,2,12,12,4,12,12,427608.0,427608.0,277.0,277.0
radome,departure,MEDIUM,3,7,7,4,7,7,386529.0,386529.0,756.0,756.0
tail,enroute,LARGE,2,7,7,4,7,7,338378.0,338378.0,583.0,583.0
tail,enroute,MEDIUM,2,11,11,4,11,11,225280.0,225280.0,2467.0,2467.0
fuselage,arrival,LARGE,4,7,7,4,7,7,92235.0,92235.0,374.04,374.04
windshield,arrival,MEDIUM,1,6,6,4,6,6,13199.0,13199.0,48.0,48.0
nose,arrival,MEDIUM,2,6,6,4,6,6,0.0,0.0,1281.0,1281.0
tail,departure,LARGE,4,7,7,3,7,7,7391586.0,7391586.0,622.0,622.0
tail,arrival,LARGE,3,4,4,3,4,4,1596420.0,1596420.0,2692.0,2692.0
windshield,departure,LARGE,1,10,10,3,10,10,108000.0,108000.0,6061.0,6061.0
other,departure,LARGE,3,5,5,3,5,5,87250.0,87250.0,336.0,336.0
nose,enroute,LARGE,2,5,5,3,5,5,69687.0,69687.0,336.0,336.0
lights,arrival,MEDIUM,2,3,3,3,3,3,10683.0,10683.0,48.0,48.0
fuselage,enroute,LARGE,1,4,4,3,4,4,415.0,415.0,433.0,433.0
tail,departure,UNKNOWN,4,3,3,3,3,3,0.0,0.0,0.0,0.0
wing_rotor,ground,UNKNOWN,1,4,4,3,4,4,0.0,0.0,0.0,0.0
landing_gear,departure,LARGE,3,2,2,2,2,2,1119525.0,1119525.0,168.0,168.0
propeller,departure,LARGE,1,13,13,2,13,13,224538.0,224538.0,4392.0,4392.0
windshield,arrival,LARGE,2,8,8,2,8,8,108485.0,108485.0,506.0,506.0
engine,departure,UNKNOWN,3,3,3,2,3,3,80000.0,80000.0,75.0,75.0
other,enroute,LARGE,3,2,2,2,2,2,23402.0,23402.0,24.0,24.0
radome,departure,SMALL,2,6,6,2,6,6,1539.0,1539.0,0.0,0.0
wing_rotor,ground,MEDIUM,1,2,2,2,2,2,103.0,103.0,4.0,4.0
tail,unknown,LARGE,4,3,3,2,3,3,0.0,0.0,49.0,49.0
other,unknown,LARGE,4,2,2,2,2,2,0.0,0.0,48.0,48.0
windshield,enroute,UNKNOWN,UNKNOWN,2,2,2,2,2,0.0,0.0,0.0,0.0
engine,arrival,LARGE,5,2,2,2,2,2,0.0,0.0,0.0,0.0
engine,unknown,MEDIUM,5,2,2,2,2,2,0.0,0.0,0.0,0.0
wing_rotor,ground,LARGE,1,2,2,2,2,2,0.0,0.0,0.0,0.0
propeller,arrival,LARGE,3,2,2,1,2,2,254850.0,254850.0,24.0,24.0
tail,departure,LARGE,3,4,4,1,4,4,177820.0,177820.0,97.0,97.0
wing_rotor,unknown,MEDIUM,5,1,1,1,1,1,125800.0,125800.0,80.0,80.0
other,departure,MEDIUM,1,5,5,1,5,5,92000.0,92000.0,500.0,500.0
tail,unknown,UNKNOWN,4,2,2,1,2,2,13390.0,13390.0,9.0,9.0
engine,arrival,MEDIUM,3,2,2,1,2,2,4000.0,4000.0,12.0,12.0
wing_rotor,enroute,MEDIUM,3,1,1,1,1,1,3500.0,3500.0,10.0,10.0
lights,arrival,SMALL,2,1,1,1,1,1,400.0,400.0,1.0,1.0
wing_rotor,enroute,SMALL,1,3,3,1,3,3,300.0,300.0,9.0,9.0
lights,departure,UNKNOWN,4,1,1,1,1,1,128.0,128.0,1.0,1.0
landing_gear,arrival,LARGE,5,2,2,1,2,2,0.0,0.0,34.0,34.0
radome,enroute,MEDIUM,2,3,3,1,3,3,0.0,0.0,25.0,25.0
tail,enroute,MEDIUM,1,1,1,1,1,1,0.0,0.0,24.0,24.0
tail,departure,MEDIUM,2,1,1,1,1,1,0.0,0.0,8.0,8.0
nose,arrival,MEDIUM,3,3,3,1,3,3,0.0,0.0,2.5,2.5
radome,departure,LARGE,2,1,1,1,1,1,0.0,0.0,0.0,0.0
