test_year,event_id,component,phase_bucket,size,aircraft_mass_class,part_damage,event_hard,cost,aos,species,airport_id,airport,aircraft
2005,674783.0,engine,departure,MEDIUM,4,True,True,1759080.0,0.0,Unknown bird - medium,KOKC,WILL ROGERS WORLD ARPT,B-737-300
2003,1086267.0,engine,arrival,LARGE,4,True,True,1745000.0,0.0,Canada goose,KOTH,SOUTHWEST OREGON REGIONAL ARPT,GULFSTREAM II
2025,1828829.0,other,unknown,MEDIUM,4,True,True,1647753.0,37.54,Ring-necked duck,ZZZZ,UNKNOWN,B-737-8
2001,641145.0,engine,departure,MEDIUM,4,True,True,1623530.0,90.0,Unknown bird - medium,KEKO,ELKO REGIONAL ARPT,B-737-200
2007,686369.0,engine,departure,LARGE,3,True,True,1549000.0,0.0,Great blue heron,KFLL,FORT LAUDERDALE/HOLLYWOOD INTL,LEARJET-45
2015,766939.0,radome,arrival,LARGE,4,True,True,1517685.0,0.0,Unknown bird - large,KBOS,GENERAL EDWARD LAWRENCE LOGAN INTL ARPT,B-737-800
2019,909671.0,propeller,arrival,LARGE,2,True,True,1509600.0,40.0,White-tailed deer,KMTP,MONTAUK ARPT,PILATUS PC12
2019,909671.0,engine,arrival,LARGE,2,True,True,1509600.0,40.0,White-tailed deer,KMTP,MONTAUK ARPT,PILATUS PC12
2019,973719.0,engine,departure,LARGE,4,True,True,1509600.0,0.0,Turkey vulture,KTPA,TAMPA INTL,A-319
2010,713606.0,radome,arrival,LARGE,3,True,True,1475000.0,160.0,American white pelican,KSLC,SALT LAKE CITY INTL,EMB-145
2010,713606.0,nose,arrival,LARGE,3,True,True,1475000.0,160.0,American white pelican,KSLC,SALT LAKE CITY INTL,EMB-145
2016,1436368.0,engine,departure,LARGE,4,True,True,1472900.0,48.0,Great blue heron,KDCA,RONALD REAGAN WASHINGTON NATIONAL ARPT,EMB-170
2011,1824222.0,engine,departure,MEDIUM,4,True,True,1429000.0,48.0,Western gull,KLAX,LOS ANGELES INTL,A-320
2003,661027.0,wing_rotor,arrival,LARGE,3,True,True,1396000.0,168.0,Canada goose,KPWK,CHICAGO EXECUTIVE ARPT,C-560
2003,661027.0,engine,arrival,LARGE,3,True,True,1396000.0,168.0,Canada goose,KPWK,CHICAGO EXECUTIVE ARPT,C-560
2013,1437881.0,engine,departure,LARGE,4,True,True,1379000.0,408.0,Canada goose,CYYC,CALGARY INTL,CRJ700
2001,644705.0,wing_rotor,arrival,LARGE,2,True,True,1360500.0,0.0,White-tailed deer,6G5,BARNESVILLE-BRADFIELD ARPT,PA-42
2014,1256429.0,engine,departure,LARGE,3,True,True,1357000.0,0.0,Snowy owl,KORD,CHICAGO O'HARE INTL ARPT,LEARJET-45
2017,805994.0,engine,arrival,LARGE,4,True,True,1311000.0,24.0,Canada goose,KEWR,NEWARK LIBERTY INTL ARPT,B-737-800
2003,1364765.0,engine,departure,LARGE,4,True,True,1291300.0,48.0,Canada goose,KEWR,NEWARK LIBERTY INTL ARPT,B-757-200
2011,1325443.0,wing_rotor,arrival,LARGE,3,True,True,1271810.0,0.0,White-tailed deer,KRRT,WARROAD INTL MEMORIAL ARPT,C-550
2010,709126.0,engine,departure,LARGE,4,True,True,1241950.0,26.0,Turkey vulture,KPBI,PALM BEACH INTL,A-320
2010,709126.0,wing_rotor,departure,LARGE,4,True,True,1241950.0,26.0,Turkey vulture,KPBI,PALM BEACH INTL,A-320
2007,685781.0,windshield,enroute,LARGE,2,True,True,1239200.0,3600.0,Golden eagle,ZZZZ,UNKNOWN,EC130
2010,717395.0,wing_rotor,arrival,LARGE,2,True,True,1224250.0,1000.0,White-tailed deer,6L4,LOGAN COUNTY ARPT,BE-90 KING
2010,717395.0,landing_gear,arrival,LARGE,2,True,True,1224250.0,1000.0,White-tailed deer,6L4,LOGAN COUNTY ARPT,BE-90 KING
2010,717395.0,engine,arrival,LARGE,2,True,True,1224250.0,1000.0,White-tailed deer,6L4,LOGAN COUNTY ARPT,BE-90 KING
2010,717395.0,propeller,arrival,LARGE,2,True,True,1224250.0,1000.0,White-tailed deer,6L4,LOGAN COUNTY ARPT,BE-90 KING
2007,1365153.0,engine,departure,MEDIUM,4,True,True,1215965.0,168.0,Yellow-legged gull,LIRF,FIUMICINO ARPT,B-767-400
2004,974258.0,propeller,arrival,LARGE,2,True,True,1206290.0,4272.0,White-tailed deer,D73,MONROE-WALTON COUNTY,BE-90 KING
2008,1165736.0,engine,departure,MEDIUM,5,True,True,1202552.0,27.0,Gulls,KLAX,LOS ANGELES INTL,B-747-400
2017,806334.0,engine,departure,LARGE,4,True,True,1200286.0,132.0,Double-crested cormorant,KSEA,SEATTLE-TACOMA INTL,B-737-700
2006,683699.0,engine,departure,LARGE,3,True,True,1194750.0,312.0,Canada goose,KANQ,TRI-STATE STEUBEN COUNTY ARPT,C-560
2006,1436979.0,engine,departure,LARGE,2,True,True,1194750.0,72.0,Black vulture,KPBI,PALM BEACH INTL,LEARJET-60
1999,1485070.0,engine,arrival,LARGE,4,True,True,1176080.0,0.0,Snow goose,KMCI,KANSAS CITY INTL,DC-9-10
2002,1626168.0,engine,departure,LARGE,4,True,True,1166975.0,200.0,Greater white-fronted goose,KDFW,DALLAS/FORT WORTH INTL ARPT,FOKKER F100
2002,1626168.0,radome,departure,LARGE,4,True,True,1166975.0,200.0,Greater white-fronted goose,KDFW,DALLAS/FORT WORTH INTL ARPT,FOKKER F100
2013,750760.0,engine,departure,LARGE,3,True,True,1158360.0,516.0,Turkey vulture,KAPF,NAPLES MUNICIPAL,CL-300
2011,718867.0,engine,departure,LARGE,4,True,True,1134306.0,110.0,Canada goose,KDCA,RONALD REAGAN WASHINGTON NATIONAL ARPT,B-737-800
