ev_id,year,damage,severe,component_group,component,phase,size,mass,wildlife_hit,component_hit,phase_hit,size_hit,component_consistent,phase_consistent,size_consistent,severe_consistent,mapped_consistent,evidence_snippet
20081003X65753,2008,SUBS,yes,wing-rotor,wing rotor,arrival,UNKNOWN,UNKNOWN,wildlife,rotor,landing; descent,none,1,1,1,1,1,the pilot and non-rated passenger were conducting a wildlife survey of a ranch. the pilot transported his helicopter to the ranch on a trailer and launched from the trailer. accor
20081004X12039,2008,SUBS,yes,wing-rotor,wing rotor,arrival,LARGE,1,bird; deer,wing,landing; approach; landed,deer,1,1,1,1,1,"urned to their home airport on a cross-country flight, and the cfi executed an instrument approach uneventfully. the airplane then landed on runway 16, a 5,001-foot long, 100-foot"
20081009X71752,2008,SUBS,yes,wing-rotor,wing rotor,arrival,UNKNOWN,1,wildlife,wing,landing; landed,none,1,1,1,1,1,"ire-equipped cessna 185 airplane, n9380n, sustained substantial damage while taxiing from landing at a remote airstrip, about 32 miles west of kenai, alaska. the airplane was being"
20081015X50709,2008,SUBS,yes,wing-rotor,wing rotor,departure,LARGE,1,bird; bird strike; birds; deer,wing,climb; departed,deer; large bird,1,1,1,1,1,"the flight departed brainard-hartford airport and was approximately 5 miles to the northeast at 1,800 feet msl when a large bird was observed on a collision course. the pilot banke"
20081022X34515,2008,SUBS,yes,wing-rotor,wing rotor,departure,LARGE,1,bird; deer,wing; aileron,climb,deer,1,1,1,1,1,"s he passed 10,500 feet, he peered out the passenger window, hoping to catch a glimpse of deer. approximately 10,000 feet, his passenger yelled and he saw n731nx approaching head-o"
20081104X35404,2008,SUBS,yes,wing-rotor,wing rotor,departure,LARGE,1,bird; deer,wing,takeoff; takeoff roll,deer,1,1,1,1,1,the pilot reported that a deer impacted the airplane during the night takeoff roll just prior to rotation. the deer impacted the nose and left wing resulting in substantial damage
20090204X65300,2009,SUBS,yes,windshield,windshield,arrival,LARGE,UNKNOWN,bird; birds,windscreen,final,flock,1,1,1,1,1,"while on short final the bi-wing airplane impacted a flock of birds. bird residue penetrated the windscreen and impacted the pilot in the face. temporarily blinded, the pilot att"
20091210X72650,2009,SUBS,yes,windshield,windshield,arrival,LARGE,2,bird; birds,windscreen,landing; approach; final; flare,flock,1,1,1,1,1,"e, on an island in the middle of the pacific ocean. the pilot stated that as he began the landing flare, several birds flew in front of his windscreen. to avoid hitting the birds,"
20100407X94230,2010,SUBS,yes,windshield,windshield,departure,MEDIUM,2,bird; bird strike; birds; duck,windshield,departure; departed,duck; bird,1,1,1,1,1,"me, a beech 95-b55, n70283, sustained substantial damage when it impacted several mallard ducks during cruise flight at 4,200 feet over center, north dakota. night visual meteoro"
20100426X43553,2010,SUBS,yes,windshield,windshield,en route,LARGE,2,bird; birds; geese; goose,windshield; windscreen,cruise,geese; goose,1,1,1,1,1,"nsport pilot was on a title 14, cfr part 91, positioning flight. the pilot said he was in cruise flight when the airplane struck two geese. he said one goose penetrated the right s"
20100811X20501,2010,SUBS,yes,windshield,windshield,departure,LARGE,UNKNOWN,bird; birds; gull,windscreen,departed,large bird; flock,1,1,1,1,1,"0, 2010, about 1340 mountain daylight time, an embraer emb-145xr, n14105, collided with a large bird while on a downwind for a visual approach to salt lake city international airpo"
20100827X80349,2010,SUBS,yes,windshield,windshield,en route,MEDIUM,1,bird; bird strike,windshield; windscreen,cruise,bird,1,1,1,1,1,"upport of a remote lodge operation, operating under title 14, cfr part 91. he said during cruise flight a loon struck and penetrated the right side of the cockpit windscreen, and c"
20100829X10140,2010,SUBS,yes,windshield,windshield,departure,MEDIUM,1,bird,windshield,departure,bird,1,1,1,1,1,"unctions occurred during flight. after flying about 45 minutes and during a turn, a brown bird suddenly appeared in the upper right corner of the windshield. it collided with the a"
