test_year,budget_share,score,test_component_records,target_records,selected_component_records,captured_target_records,capture_rate,selected_target_rate,lift,selected_weighted_damage,total_weighted_damage,weighted_capture_rate,weighted_selected_target_rate,weighted_overall_target_rate,weighted_lift
2011,0.1,component_phase_size_mass_rate,5459,305,546,168,0.5508196721311476,0.3076923076923077,5.507187894073141,16.956160539709224,30.606718244945217,0.5540012622068549,0.3055178899820351,0.055338292728784565,5.520912823953422
2012,0.05,component_phase_size_mass_rate,5643,336,283,127,0.37797619047619047,0.44876325088339225,7.5368185259969716,12.93019648699682,34.22204381865238,0.3778323865025661,0.4444604522445082,0.059444282342824464,7.476925193263085
2012,0.1,component_phase_size_mass_rate,5643,336,565,189,0.5625,0.3345132743362832,5.618030973451328,19.282301479270227,34.22204381865238,0.563446811693947,0.33327531914735165,0.059444282342824464,5.606515984587059
2013,0.05,component_phase_size_mass_rate,5455,303,273,127,0.41914191419141916,0.4652014652014652,8.375161691993377,13.002164521053354,30.91404377361124,0.42059086854733074,0.4647313117463673,0.05556178035016413,8.364226430785969
2013,0.1,component_phase_size_mass_rate,5455,303,546,180,0.594059405940594,0.32967032967032966,5.935153954955935,18.469061833063574,30.91404377361124,0.5974327386062991,0.32942575511932376,0.05556178035016413,5.928999269699439
2014,0.05,component_phase_size_mass_rate,6853,330,343,146,0.44242424242424244,0.42565597667638483,8.839455782312925,14.980277127745115,33.6239980607275,0.4455233759141192,0.4262984881772241,0.04809133300989509,8.864351672046823
2014,0.1,component_phase_size_mass_rate,6853,330,686,212,0.6424242424242425,0.30903790087463556,6.4176870748299315,21.686617453093078,33.6239980607275,0.6449743844835285,0.30756705872550794,0.04809133300989509,6.3954779265990425
2015,0.05,component_phase_size_mass_rate,6488,279,325,122,0.43727598566308246,0.37538461538461537,8.729374138406396,12.405871020182762,28.308545079004983,0.43823767648813466,0.3725146858951497,0.042755944908827226,8.7125822313014
2015,0.1,component_phase_size_mass_rate,6488,279,649,166,0.5949820788530465,0.25577812018489987,5.947987253618747,16.846520160516008,28.308545079004983,0.5951037085621974,0.2535756360671617,0.042755944908827226,5.930769080367336
2016,0.05,component_phase_size_mass_rate,6209,304,311,134,0.4407894736842105,0.43086816720257237,8.800198849213064,13.690448409761308,30.984672900782623,0.44184582659949617,0.42921489188408396,0.04891282466825927,8.775099266810736
