test_year,score,gbif_stratum,budget_share,test_component_records,target_records,selected_component_records,captured_target_records,capture_rate,selected_target_rate,overall_target_rate,lift,event_deduplicated_cost_capture,event_deduplicated_aos_capture,selected_event_deduplicated_cost,total_event_deduplicated_cost,selected_event_deduplicated_aos,total_event_deduplicated_aos
2006,component_transition_score,low bird activity,0.1,2081,148,209,82,0.5540540540540541,0.3923444976076555,0.071119654012494,5.516681753523859,0.989729215181778,0.7465388711395101,14460506.0,14610568.0,701.0,939.0
2006,gbif_occurrence_only,all matched,0.05,4279,341,214,31,0.09090909090909091,0.14485981308411214,0.07969151670951156,1.8177570093457944,0.010714797695401608,0.2101235377719471,279764.0,26110059.0,961.0,4573.5
2006,gbif_occurrence_only,all matched,0.1,4279,341,428,44,0.12903225806451613,0.102803738317757,0.07969151670951156,1.2900211034066928,0.317816899609457,0.22346124412375643,8298218.0,26110059.0,1022.0,4573.5
2007,component_transition_score,all matched,0.05,4538,317,227,112,0.35331230283911674,0.4933920704845815,0.06985456148082855,7.0631331730568805,0.7014960441147416,0.6200535554894376,10843890.0,15458234.0,4168.0,6722.0
2007,component_transition_score,all matched,0.1,4538,317,454,175,0.5520504731861199,0.3854625550660793,0.06985456148082855,5.518072791450687,0.9027860491696529,0.9034513537637607,13955478.0,15458234.0,6073.0,6722.0
2007,component_transition_score,high bird activity,0.05,2194,167,110,59,0.3532934131736527,0.5363636363636364,0.07611668185961713,7.046597713663583,0.7672078228605539,0.5630052306229196,5087062.0,6630618.0,1184.0,2103.0
2007,component_transition_score,high bird activity,0.1,2194,167,220,81,0.48502994011976047,0.36818181818181817,0.07611668185961713,4.837071311921611,0.7917955762192905,0.8654303376129339,5250094.0,6630618.0,1820.0,2103.0
2007,component_transition_score,low bird activity,0.05,2344,150,118,61,0.4066666666666667,0.5169491525423728,0.06399317406143344,8.078192090395481,0.6521384709076606,0.6425633253951072,5756828.0,8827616.0,2968.0,4619.0
2007,component_transition_score,low bird activity,0.1,2344,150,235,90,0.6,0.3829787234042553,0.06399317406143344,5.98468085106383,0.9192416163095449,0.9136176661615069,8114712.0,8827616.0,4220.0,4619.0
2007,gbif_occurrence_only,all matched,0.05,4538,317,227,15,0.0473186119873817,0.06607929515418502,0.06985456148082855,0.9459553356772608,0.0,0.0016364177328176137,0.0,15458234.0,11.0,6722.0
2007,gbif_occurrence_only,all matched,0.1,4538,317,454,31,0.09779179810725552,0.06828193832599119,0.06985456148082855,0.9774871801998362,0.021628926046791633,0.010711097887533471,334345.0,15458234.0,72.0,6722.0
2008,component_transition_score,all matched,0.05,4261,324,214,122,0.3765432098765432,0.5700934579439252,0.07603848861769538,7.497432791046497,0.8661376834650854,0.7773362389437252,18682097.0,21569431.0,6064.0,7801.0
2008,component_transition_score,all matched,0.1,4261,324,427,185,0.5709876543209876,0.4332552693208431,0.07603848861769538,5.697841674617631,0.8798714254446489,0.8372003589283425,18978326.0,21569431.0,6531.0,7801.0
2008,component_transition_score,high bird activity,0.05,2113,178,106,58,0.3258426966292135,0.5471698113207547,0.08424041646947468,6.495336018655926,0.7538451146427757,0.5985267034990792,7231747.0,9593147.0,1625.0,2715.0
2008,component_transition_score,high bird activity,0.1,2113,178,212,93,0.5224719101123596,0.4386792452830189,0.08424041646947468,5.207467670129319,0.7623050079395218,0.7034990791896869,7312904.0,9593147.0,1910.0,2715.0
2008,component_transition_score,low bird activity,0.05,2148,146,108,62,0.4246575342465753,0.5740740740740741,0.06797020484171322,8.445966514459665,0.9560853767328831,0.8704286276051907,11450350.0,11976284.0,4427.0,5086.0
2008,component_transition_score,low bird activity,0.1,2148,146,215,90,0.6164383561643836,0.4186046511627907,0.06797020484171322,6.158649251353935,0.9736070053114972,0.9172237514746363,11660194.0,11976284.0,4665.0,5086.0
2008,gbif_occurrence_only,all matched,0.05,4261,324,214,22,0.06790123456790123,0.102803738317757,0.07603848861769538,1.3519960770739585,0.033581738897052966,0.03538007947699013,724339.0,21569431.0,276.0,7801.0
2008,gbif_occurrence_only,all matched,0.1,4261,324,427,45,0.1388888888888889,0.1053864168618267,0.07603848861769538,1.3859614884205047,0.05511879288795333,0.11024227663120113,1188881.0,21569431.0,860.0,7801.0
2009,component_transition_score,all matched,0.05,5689,345,285,126,0.3652173913043478,0.4421052631578947,0.060643346809632626,7.290251716247139,0.9583780928432086,0.7760313287913738,85048244.0,88741849.0,7233.0,9320.5
2009,component_transition_score,all matched,0.1,5689,345,569,184,0.5333333333333333,0.3233743409490334,0.060643346809632626,5.332396016403046,0.9755194417912117,0.8522074995976611,86569399.0,88741849.0,7943.0,9320.5
2009,component_transition_score,high bird activity,0.05,2796,182,140,59,0.3241758241758242,0.42142857142857143,0.06509298998569385,6.47425431711146,0.6413136205222767,0.27814403214666916,3323511.0,5182349.0,2215.0,7963.5
2009,component_transition_score,high bird activity,0.1,2796,182,280,89,0.489010989010989,0.31785714285714284,0.06509298998569385,4.883124018838304,0.90135747322305,0.8722295473096,4671149.0,5182349.0,6946.0,7963.5
2009,component_transition_score,low bird activity,0.05,2893,163,145,66,0.4049079754601227,0.45517241379310347,0.05634289664707916,8.078612227628517,0.9731123690304514,0.46868091378039795,81312783.0,83559500.0,636.0,1357.0
2009,component_transition_score,low bird activity,0.1,2893,163,290,91,0.558282208588957,0.3137931034482759,0.05634289664707916,5.569346308440871,0.9771496119531591,0.6787030213706706,81650133.0,83559500.0,921.0,1357.0
2009,gbif_occurrence_only,all matched,0.05,5689,345,285,16,0.0463768115942029,0.056140350877192984,0.060643346809632626,0.9257462496821764,0.009170295741753138,0.02317472238613808,813789.0,88741849.0,216.0,9320.5
2009,gbif_occurrence_only,all matched,0.1,5689,345,569,44,0.12753623188405797,0.0773286467486819,0.060643346809632626,1.275138177835511,0.017649609712324113,0.04919263987983477,1566259.0,88741849.0,458.5,9320.5
2010,component_transition_score,all matched,0.05,5415,337,271,120,0.3560830860534125,0.44280442804428044,0.062234533702677744,7.115091922432578,0.7456247495445217,0.6212224494433083,8903315.0,11940745.0,2734.0,4401.0
2010,component_transition_score,all matched,0.1,5415,337,542,186,0.5519287833827893,0.34317343173431736,0.062234533702677744,5.514196239885248,0.9114304844463222,0.7995910020449898,10883159.0,11940745.0,3519.0,4401.0
2010,component_transition_score,high bird activity,0.05,2610,172,131,54,0.313953488372093,0.4122137404580153,0.06590038314176246,6.255103852298952,0.6429938440182178,0.3739097459233978,4634771.0,7208111.0,986.0,2637.0
2010,component_transition_score,high bird activity,0.1,2610,172,261,89,0.5174418604651163,0.34099616858237547,0.06590038314176246,5.174418604651162,0.8927816178191484,0.7713310580204779,6435269.0,7208111.0,2034.0,2637.0
2010,component_transition_score,low bird activity,0.05,2805,165,141,64,0.3878787878787879,0.45390070921985815,0.058823529411764705,7.716312056737588,0.8406025059195366,0.7369614512471655,3978264.0,4732634.0,1300.0,1764.0
2010,component_transition_score,low bird activity,0.1,2805,165,281,94,0.5696969696969697,0.33451957295373663,0.058823529411764705,5.686832740213523,0.9382474960032827,0.8327664399092971,4440382.0,4732634.0,1469.0,1764.0
2010,gbif_occurrence_only,all matched,0.05,5415,337,271,13,0.03857566765578635,0.04797047970479705,0.062234533702677744,0.770801624930196,0.016566805505016647,0.028175414678482162,197820.0,11940745.0,124.0,4401.0
2010,gbif_occurrence_only,all matched,0.1,5415,337,542,27,0.08011869436201781,0.04981549815498155,0.062234533702677744,0.800447841273665,0.03515760532529587,0.05680527152919791,419808.0,11940745.0,250.0,4401.0
2011,component_transition_score,all matched,0.05,5462,305,274,115,0.3770491803278688,0.4197080291970803,0.055840351519589895,7.516213952375254,0.799499310088035,0.6600910470409712,38408676.0,48040912.0,4350.0,6590.0
2011,component_transition_score,all matched,0.1,5462,305,547,168,0.5508196721311476,0.3071297989031079,0.055840351519589895,5.500140857733689,0.9720196194443602,0.8311077389984826,46696709.0,48040912.0,5477.0,6590.0
2011,component_transition_score,high bird activity,0.05,2656,161,133,56,0.34782608695652173,0.42105263157894735,0.06061746987951807,6.946060804184374,0.7955848254428483,0.7205882352941176,30803322.0,38717835.0,2891.0,4012.0
2011,component_transition_score,high bird activity,0.1,2656,161,266,84,0.5217391304347826,0.3157894736842105,0.06061746987951807,5.20954560313828,0.802923794680152,0.7838983050847458,31087471.0,38717835.0,3145.0,4012.0
2011,component_transition_score,low bird activity,0.05,2806,144,141,54,0.375,0.3829787234042553,0.05131860299358518,7.462765957446808,0.809693730943121,0.5713731574864236,7548837.0,9323077.0,1473.0,2578.0
2011,component_transition_score,low bird activity,0.1,2806,144,281,86,0.5972222222222222,0.30604982206405695,0.05131860299358518,5.963720838275998,0.9391500252545377,0.7269200930954228,8755768.0,9323077.0,1874.0,2578.0
2011,gbif_occurrence_only,all matched,0.05,5462,305,274,15,0.04918032786885246,0.05474452554744526,0.055840351519589895,0.9803757329185114,0.0036600887177162663,0.024582701062215478,175834.0,48040912.0,162.0,6590.0
2011,gbif_occurrence_only,all matched,0.1,5462,305,547,33,0.10819672131147541,0.0603290676416819,0.055840351519589895,1.080384811340546,0.012210425980256161,0.06631259484066768,586600.0,48040912.0,437.0,6590.0
2012,component_transition_score,all matched,0.05,5657,337,283,128,0.3798219584569733,0.45229681978798586,0.05957221141948029,7.59241278795441,0.8316456994287005,0.6125670982001895,16811544.0,20214791.0,3880.0,6334.0
2012,component_transition_score,all matched,0.1,5657,337,566,190,0.5637982195845698,0.33568904593639576,0.05957221141948029,5.634993866059913,0.8965470877240334,0.8230186296179349,18123512.0,20214791.0,5213.0,6334.0
2012,component_transition_score,high bird activity,0.05,2782,173,140,58,0.3352601156069364,0.4142857142857143,0.06218547807332854,6.662097440132123,0.8771954815721997,0.6071794871794872,12328186.0,14054092.0,1776.0,2925.0
2012,component_transition_score,high bird activity,0.1,2782,173,279,97,0.5606936416184971,0.34767025089605735,0.06218547807332854,5.590859179149316,0.9170415278340287,0.8232478632478633,12888186.0,14054092.0,2408.0,2925.0
2012,component_transition_score,low bird activity,0.05,2875,164,144,69,0.42073170731707316,0.4791666666666667,0.057043478260869564,8.400025406504065,0.762731306950721,0.6462305661484307,4698958.0,6160699.0,2203.0,3409.0
2012,component_transition_score,low bird activity,0.1,2875,164,288,89,0.5426829268292683,0.3090277777777778,0.057043478260869564,5.417407689701897,0.8497941548515842,0.8084482252860077,5235326.0,6160699.0,2756.0,3409.0
2012,gbif_occurrence_only,all matched,0.05,5657,337,283,15,0.04451038575667656,0.053003533568904596,0.05957221141948029,0.8897358735884074,0.014897012786330564,0.030628354910009474,301140.0,20214791.0,194.0,6334.0
2012,gbif_occurrence_only,all matched,0.1,5657,337,566,39,0.11572700296735905,0.06890459363957598,0.05957221141948029,1.1566566356649297,0.021884965320690182,0.05146826649826334,442400.0,20214791.0,326.0,6334.0
2013,component_transition_score,all matched,0.05,5478,304,274,128,0.42105263157894735,0.46715328467153283,0.05549470609711574,8.417979254706108,0.6922985188851463,0.5973496432212029,5869077.0,8477668.0,4688.0,7848.0
2013,component_transition_score,all matched,0.1,5478,304,548,180,0.5921052631578947,0.3284671532846715,0.05549470609711574,5.918891663465232,0.8045096835592052,0.8623853211009175,6820366.0,8477668.0,6768.0,7848.0
2013,component_transition_score,high bird activity,0.05,2624,159,132,62,0.389937106918239,0.4696969696969697,0.06059451219512195,7.751477034495903,0.4268752798043019,0.4653555219364599,1462689.0,3426502.0,1538.0,3305.0
2013,component_transition_score,high bird activity,0.1,2624,159,263,93,0.5849056603773585,0.35361216730038025,0.06059451219512195,5.835712748403759,0.7877249159638605,0.8127080181543116,2699141.0,3426502.0,2686.0,3305.0
2013,component_transition_score,low bird activity,0.05,2854,145,143,60,0.41379310344827586,0.4195804195804196,0.05080588647512264,8.258500120569085,0.7757064408494989,0.6350429231785164,3918222.0,5051166.0,2885.0,4543.0
2013,component_transition_score,low bird activity,0.1,2854,145,286,87,0.6,0.3041958041958042,0.05080588647512264,5.987412587412588,0.8158684549270406,0.8879594981289897,4121087.0,5051166.0,4034.0,4543.0
2013,gbif_occurrence_only,all matched,0.05,5478,304,274,18,0.05921052631578947,0.06569343065693431,0.05549470609711574,1.1837783326930464,0.06747173869040402,0.09531090723751275,572003.0,8477668.0,748.0,7848.0
2013,gbif_occurrence_only,all matched,0.1,5478,304,548,31,0.10197368421052631,0.05656934306569343,0.05549470609711574,1.0193646753745678,0.14628680906117106,0.14602446483180428,1240171.0,8477668.0,1146.0,7848.0
2014,component_transition_score,all matched,0.05,6865,331,344,146,0.44108761329305135,0.42441860465116277,0.04821558630735615,8.802518794351156,0.7222575177088063,0.6428984071965008,18593063.0,25742983.0,3895.0,6058.5
2014,component_transition_score,all matched,0.1,6865,331,687,212,0.6404833836858006,0.30858806404657935,0.04821558630735615,6.400172385739478,0.9440069940612554,0.8062226623751754,24301556.0,25742983.0,4884.5,6058.5
2014,component_transition_score,high bird activity,0.05,3296,147,165,68,0.46258503401360546,0.4121212121212121,0.0445995145631068,9.240486497629353,0.6674540955151963,0.6518377865183779,13874128.0,20786640.0,2403.0,3686.5
2014,component_transition_score,high bird activity,0.1,3296,147,330,93,0.6326530612244898,0.2818181818181818,0.0445995145631068,6.318862090290661,0.936644306150489,0.7645463176454632,19469688.0,20786640.0,2818.5,3686.5
2014,component_transition_score,low bird activity,0.05,3569,184,179,80,0.43478260869565216,0.44692737430167595,0.05155505743905856,8.66893368957979,0.5731984247256495,0.642495784148398,2840968.0,4956343.0,1524.0,2372.0
2014,component_transition_score,low bird activity,0.1,3569,184,357,114,0.6195652173913043,0.31932773109243695,0.05155505743905856,6.193916697113627,0.8733328181685569,0.7508431703204047,4328537.0,4956343.0,1781.0,2372.0
2014,gbif_occurrence_only,all matched,0.05,6865,331,344,17,0.0513595166163142,0.04941860465116279,0.04821558630735615,1.02495081852034,0.16654767631241493,0.032351242056614674,4287434.0,25742983.0,196.0,6058.5
2014,gbif_occurrence_only,all matched,0.1,6865,331,687,34,0.1027190332326284,0.049490538573508006,0.04821558630735615,1.0264427411091614,0.22269816205837528,0.13765783609804408,5732915.0,25742983.0,834.0,6058.5
2015,component_transition_score,all matched,0.05,6496,279,325,122,0.43727598566308246,0.37538461538461537,0.04294950738916256,8.740137854976565,0.7498050758240784,0.5436164416732248,20506491.0,27349096.0,4490.0,8259.5
2015,component_transition_score,all matched,0.1,6496,279,650,166,0.5949820788530465,0.2553846153846154,0.04294950738916256,5.946159360352909,0.861887537343099,0.7406017313396694,23571845.0,27349096.0,6117.0,8259.5
2015,component_transition_score,high bird activity,0.05,3201,157,161,56,0.35668789808917195,0.34782608695652173,0.04904717275851297,7.09166435890335,0.7255989715225161,0.3716095501055709,12656247.0,17442482.0,1144.0,3078.5
2015,component_transition_score,high bird activity,0.1,3201,157,321,85,0.5414012738853503,0.26479750778816197,0.04904717275851297,5.398833263884754,0.8829111017571926,0.5281793081045963,15400161.0,17442482.0,1626.0,3078.5
2015,component_transition_score,low bird activity,0.05,3295,122,165,61,0.5,0.3696969696969697,0.0370257966616085,9.984848484848484,0.773866025263526,0.619764524223123,7666392.0,9906614.0,3211.0,5181.0
2015,component_transition_score,low bird activity,0.1,3295,122,330,78,0.639344262295082,0.23636363636363636,0.0370257966616085,6.383755588673622,0.8715637855679045,0.851380042462845,8634246.0,9906614.0,4411.0,5181.0
2015,gbif_occurrence_only,all matched,0.05,6496,279,325,22,0.07885304659498207,0.06769230769230769,0.04294950738916256,1.5760904328646264,0.0067033659905980075,0.01816090562382711,183331.0,27349096.0,150.0,8259.5
2015,gbif_occurrence_only,all matched,0.1,6496,279,650,33,0.11827956989247312,0.05076923076923077,0.04294950738916256,1.1820678246484697,0.06702448227173578,0.04443368242629699,1833059.0,27349096.0,367.0,8259.5
2016,component_transition_score,all matched,0.05,6227,305,312,133,0.4360655737704918,0.42628205128205127,0.04898024731010117,8.703142076502733,0.41508070512257367,0.29527175237631004,3874355.0,9333980.0,2423.0,8206.0
2016,component_transition_score,all matched,0.1,6227,305,623,183,0.6,0.29373996789727125,0.04898024731010117,5.997110754414125,0.7357500230341184,0.5828661954667317,6867476.0,9333980.0,4783.0,8206.0
2016,component_transition_score,high bird activity,0.05,3042,156,153,69,0.4423076923076923,0.45098039215686275,0.05128205128205128,8.794117647058824,0.43400290829038596,0.4024152707440592,2468257.0,5687190.0,1033.0,2567.0
