airport_id,year,status,bytes
BOS,2022,downloaded,477926
BOS,2023,downloaded,477165
BOS,2024,downloaded,478546
BOS,2025,downloaded,475697
BTR,2000,downloaded,431259
BTR,2001,downloaded,431830
BTR,2002,downloaded,434165
BTR,2003,downloaded,431243
BTR,2004,downloaded,435374
BTR,2005,downloaded,429864
BTR,2006,downloaded,439292
BTR,2007,downloaded,465474
BTR,2008,downloaded,453038
BTR,2009,downloaded,465726
BTR,2010,downloaded,442863
BTR,2011,downloaded,423426
BTR,2012,downloaded,449693
BTR,2013,downloaded,452352
BTR,2014,downloaded,450470
BTR,2015,downloaded,451034
BTR,2016,downloaded,451557
BTR,2017,downloaded,452542
BTR,2018,downloaded,449667
BTR,2019,downloaded,451724
BTR,2020,downloaded,452592
BTR,2021,downloaded,451596
BTR,2022,downloaded,449033
BTR,2023,downloaded,450368
BTR,2024,downloaded,449538
BTR,2025,downloaded,448921
BUF,2000,downloaded,451107
BUF,2001,downloaded,451309
BUF,2002,downloaded,455118
BUF,2003,downloaded,452836
BUF,2004,downloaded,453638
BUF,2005,downloaded,451799
BUF,2006,downloaded,445967
BUF,2007,downloaded,444874
BUF,2008,downloaded,450323
BUF,2009,downloaded,471074
BUF,2010,downloaded,453188
BUF,2011,downloaded,456760
BUF,2012,downloaded,477123
BUF,2013,downloaded,474975
BUF,2014,downloaded,474748
BUF,2015,downloaded,474577
BUF,2016,downloaded,477519
BUF,2017,downloaded,475866
BUF,2018,downloaded,475097
BUF,2019,downloaded,475627
BUF,2020,downloaded,477400
BUF,2021,downloaded,472789
BUF,2022,downloaded,475000
BUF,2023,downloaded,475611
BUF,2024,downloaded,476566
BUF,2025,downloaded,473977
BUR,2000,downloaded,413997
BUR,2001,downloaded,411002
BUR,2002,downloaded,410795
BUR,2003,downloaded,415236
BUR,2004,downloaded,414427
BUR,2005,downloaded,416966
BUR,2006,downloaded,414927
BUR,2007,downloaded,412069
BUR,2008,downloaded,413005
BUR,2009,downloaded,414538
BUR,2010,downloaded,416124
BUR,2011,downloaded,415458
BUR,2012,downloaded,438936
BUR,2013,downloaded,438267
BUR,2014,downloaded,437486
BUR,2015,downloaded,438397
BUR,2016,downloaded,440183
BUR,2017,downloaded,439102
BUR,2018,downloaded,438861
BUR,2019,downloaded,442016
BUR,2020,downloaded,438504
BUR,2021,downloaded,438065
BUR,2022,downloaded,437415
BUR,2023,downloaded,443110
BUR,2024,downloaded,441130
BUR,2025,downloaded,438051
BWI,2000,downloaded,446898
BWI,2001,downloaded,446853
BWI,2002,downloaded,449715
BWI,2003,downloaded,448098
BWI,2004,downloaded,448909
BWI,2005,downloaded,448414
BWI,2006,downloaded,449766
