test_year,score,budget_share,test_component_records,target_records,selected_component_records,captured_target_records,capture_rate,selected_target_rate,overall_target_rate,lift,event_deduplicated_cost_capture,event_deduplicated_aos_capture,selected_event_deduplicated_cost,total_event_deduplicated_cost,selected_event_deduplicated_aos,total_event_deduplicated_aos
2009,historical_frequency,0.2,8623,745,1725,37,0.049664429530201344,0.021449275362318842,0.08639684564536704,0.24826456570372535,0.01598413039421531,0.015020372736697447,1587881.0,99341094.0,623.0,41477.0
2010,hierarchical_review_rule,0.01,8342,730,84,64,0.08767123287671233,0.7619047619047619,0.08750899064972428,8.706588388780169,0.31298961532697156,0.25302376118720155,10218310.0,32647441.0,8849.0,34973.0
2010,hierarchical_review_rule,0.025,8342,730,209,143,0.1958904109589041,0.6842105263157895,0.08750899064972428,7.818745493871666,0.4257919632966026,0.5655505675807051,13901018.0,32647441.0,19779.0,34973.0
2010,hierarchical_review_rule,0.05,8342,730,418,245,0.3356164383561644,0.5861244019138756,0.08750899064972428,6.6978763846103435,0.5228521279814856,0.6974523203614217,17069784.0,32647441.0,24392.0,34973.0
2010,hierarchical_review_rule,0.1,8342,730,835,382,0.5232876712328767,0.45748502994011975,0.08750899064972428,5.227863177754081,0.5876262093558879,0.7878649243702285,19184492.0,32647441.0,27554.0,34973.0
2010,hierarchical_review_rule,0.2,8342,730,1669,528,0.7232876712328767,0.31635710005991613,0.08750899064972428,3.615138258492905,0.9548063200420517,0.952477625596889,31171983.0,32647441.0,33311.0,34973.0
2010,historical_frequency,0.01,8342,730,84,6,0.00821917808219178,0.07142857142857142,0.08750899064972428,0.8162426614481408,0.003248432243127417,0.003974494610127813,106053.0,32647441.0,139.0,34973.0
2010,historical_frequency,0.025,8342,730,209,8,0.010958904109589041,0.03827751196172249,0.08750899064972428,0.43741233532149176,0.003275540033903423,0.004060275069339205,106938.0,32647441.0,142.0,34973.0
2010,historical_frequency,0.05,8342,730,418,8,0.010958904109589041,0.019138755980861243,0.08750899064972428,0.21870616766074588,0.0033072117352168583,0.004603551311011351,107972.0,32647441.0,161.0,34973.0
2010,historical_frequency,0.1,8342,730,835,8,0.010958904109589041,0.009580838323353293,0.08750899064972428,0.10948404560741531,0.008126119287572953,0.006490721413661968,265297.0,32647441.0,227.0,34973.0
2010,historical_frequency,0.2,8342,730,1669,30,0.0410958904109589,0.017974835230677052,0.08750899064972428,0.20540558286891503,0.05761888045069137,0.01406799531066823,1881109.0,32647441.0,492.0,34973.0
2011,hierarchical_review_rule,0.01,8464,645,85,57,0.08837209302325581,0.6705882352941176,0.07620510396975426,8.799781121751025,0.2711866828086366,0.16076317590691308,16401376.0,60480020.0,5637.0,35064.0
2011,hierarchical_review_rule,0.025,8464,645,212,119,0.18449612403100776,0.5613207547169812,0.07620510396975426,7.365920725464385,0.48579990548944924,0.4182352270134611,29381188.0,60480020.0,14665.0,35064.0
2011,hierarchical_review_rule,0.05,8464,645,424,239,0.3705426356589147,0.5636792452830188,0.07620510396975426,7.396869972210032,0.7211169738369796,0.6015286333561488,43613169.0,60480020.0,21092.0,35064.0
2011,hierarchical_review_rule,0.1,8464,645,847,352,0.5457364341085271,0.4155844155844156,0.07620510396975426,5.453498439544951,0.7870074282382843,0.8048425735797399,47598225.0,60480020.0,28221.0,35064.0
2011,hierarchical_review_rule,0.2,8464,645,1693,481,0.7457364341085271,0.284111045481394,0.07620510396975426,3.728241688301579,0.9634086099839253,0.9276180698151951,58266972.0,60480020.0,32526.0,35064.0
2011,historical_frequency,0.01,8464,645,85,4,0.006201550387596899,0.047058823529411764,0.07620510396975426,0.6175284997720017,0.002437218109385546,0.01012434405658225,147403.0,60480020.0,355.0,35064.0
2011,historical_frequency,0.025,8464,645,212,6,0.009302325581395349,0.02830188679245283,0.07620510396975426,0.3713909609477841,0.003524519337129849,0.01055213324207164,213163.0,60480020.0,370.0,35064.0
2011,historical_frequency,0.05,8464,645,424,9,0.013953488372093023,0.02122641509433962,0.07620510396975426,0.27854322071083804,0.005305223113352145,0.011122518822724161,320860.0,60480020.0,390.0,35064.0
2011,historical_frequency,0.1,8464,645,847,11,0.017054263565891473,0.012987012987012988,0.07620510396975426,0.17042182623577973,0.006864630666458113,0.012691079169518595,415173.0,60480020.0,445.0,35064.0
2011,historical_frequency,0.2,8464,645,1693,29,0.04496124031007752,0.017129356172474897,0.07620510396975426,0.22477964440903492,0.13190847159111388,0.029945242984257357,7977827.0,60480020.0,1050.0,35064.0
2012,hierarchical_review_rule,0.01,9097,776,91,60,0.07731958762886598,0.6593406593406593,0.08530284709244806,7.729409765492239,0.22030185704238542,0.19868798214732306,7898015.0,35850878.0,10328.0,51981.0
2012,hierarchical_review_rule,0.025,9097,776,228,123,0.15850515463917525,0.5394736842105263,0.08530284709244806,6.32421663049376,0.30242718183917283,0.4863892576133587,10842280.0,35850878.0,25283.0,51981.0
2012,hierarchical_review_rule,0.05,9097,776,455,237,0.30541237113402064,0.5208791208791209,0.08530284709244806,6.1062337147388694,0.5780178103308934,0.6003154998941921,20722446.0,35850878.0,31205.0,51981.0
2012,hierarchical_review_rule,0.1,9097,776,910,399,0.5141752577319587,0.43846153846153846,0.08530284709244806,5.140057494052339,0.7991396472912045,0.8341894153633058,28649858.0,35850878.0,43362.0,51981.0
2012,hierarchical_review_rule,0.2,9097,776,1820,549,0.7074742268041238,0.30164835164835163,0.08530284709244806,3.5362049677126994,0.8950702406786244,0.9156230161020373,32089054.0,35850878.0,47595.0,51981.0
2012,historical_frequency,0.01,9097,776,91,2,0.002577319587628866,0.02197802197802198,0.08530284709244806,0.2576469921830747,9.567408641986397e-05,0.00036551817010061367,3430.0,35850878.0,19.0,51981.0
2012,historical_frequency,0.025,9097,776,228,2,0.002577319587628866,0.008771929824561403,0.08530284709244806,0.10283279073973593,0.00014448739581775376,0.0005771339527904426,5180.0,35850878.0,30.0,51981.0
2012,historical_frequency,0.05,9097,776,455,5,0.006443298969072165,0.01098901098901099,0.08530284709244806,0.12882349609153734,0.008944271880872764,0.0010196033165964487,320660.0,35850878.0,53.0,51981.0
2012,historical_frequency,0.1,9097,776,910,5,0.006443298969072165,0.005494505494505495,0.08530284709244806,0.06441174804576867,0.009403116989212928,0.0013466458898443662,337110.0,35850878.0,70.0,51981.0
2012,historical_frequency,0.2,9097,776,1820,12,0.015463917525773196,0.006593406593406593,0.08530284709244806,0.07729409765492239,0.009546432865605133,0.0029818587560839537,342248.0,35850878.0,155.0,51981.0
2013,hierarchical_review_rule,0.01,9153,748,92,67,0.08957219251336898,0.7282608695652174,0.08172183983393423,8.911459544292025,0.19119984888964048,0.3114716297455324,4640106.0,24268356.0,18911.0,60715.0
2013,hierarchical_review_rule,0.025,9153,748,229,155,0.2072192513368984,0.6768558951965066,0.08172183983393423,8.282435840552974,0.31673377463228247,0.5888824837354855,7686608.0,24268356.0,35754.0,60715.0
2013,hierarchical_review_rule,0.05,9153,748,458,273,0.3649732620320856,0.5960698689956332,0.08172183983393423,7.293887046680522,0.5183562495951518,0.7242691262455736,12579654.0,24268356.0,43974.0,60715.0
2013,hierarchical_review_rule,0.1,9153,748,916,438,0.5855614973262032,0.4781659388646288,0.08172183983393423,5.851140158326133,0.6896610137085512,0.8333031376101457,16736939.0,24268356.0,50594.0,60715.0
2013,hierarchical_review_rule,0.2,9153,748,1831,567,0.7580213903743316,0.3096668487165483,0.08172183983393423,3.7892789656451424,0.870129645370292,0.9139916000988224,21116616.0,24268356.0,55493.0,60715.0
2013,historical_frequency,0.01,9153,748,92,2,0.00267379679144385,0.021739130434782608,0.08172183983393423,0.26601371774006044,0.00015064885318148455,0.0008894013011611628,3656.0,24268356.0,54.0,60715.0
2013,historical_frequency,0.025,9153,748,229,6,0.008021390374331552,0.026200873362445413,0.08172183983393423,0.32061041963430864,0.00018476735712958883,0.0033434900765873343,4484.0,24268356.0,203.0,60715.0
2013,historical_frequency,0.05,9153,748,458,6,0.008021390374331552,0.013100436681222707,0.08172183983393423,0.16030520981715432,0.00020466981776598298,0.004002305855225233,4967.0,24268356.0,243.0,60715.0
2013,historical_frequency,0.1,9153,748,916,7,0.009358288770053475,0.007641921397379912,0.08172183983393423,0.09351137239334002,0.0009185624275496866,0.004727003211726921,22292.0,24268356.0,287.0,60715.0
2013,historical_frequency,0.2,9153,748,1831,11,0.014705882352941176,0.006007646095030038,0.08172183983393423,0.07351334853985285,0.016073276657059092,0.006917565675697933,390072.0,24268356.0,420.0,60715.0
2014,hierarchical_review_rule,0.01,11268,703,113,81,0.11522048364153627,0.7168141592920354,0.062389066382676606,11.48941955462682,0.19539163987740304,0.2231133464736401,8265048.0,42299906.0,9848.0,44139.0
2014,hierarchical_review_rule,0.025,11268,703,282,165,0.23470839260312945,0.5851063829787234,0.062389066382676606,9.378348112950578,0.58801456911039,0.4670699381499354,24872961.0,42299906.0,20616.0,44139.0
2014,hierarchical_review_rule,0.05,11268,703,564,271,0.38549075391180654,0.4804964539007092,0.062389066382676606,7.701613147301837,0.7003317690587776,0.6035252271234056,29623968.0,42299906.0,26639.0,44139.0
2014,hierarchical_review_rule,0.1,11268,703,1127,420,0.5974395448079659,0.37267080745341613,0.062389066382676606,5.9733352181864765,0.7519177938598729,0.8348739210222252,31806052.0,42299906.0,36850.5,44139.0
2014,hierarchical_review_rule,0.2,11268,703,2254,531,0.7553342816500711,0.23558118899733807,0.062389066382676606,3.7760011914964515,0.8953673324947814,0.9036792858922948,37873954.0,42299906.0,39887.5,44139.0
2014,historical_frequency,0.01,11268,703,113,1,0.001422475106685633,0.008849557522123894,0.062389066382676606,0.14184468585959037,4.5886626792976795e-05,0.00022655701307233966,1941.0,42299906.0,10.0,44139.0
2014,historical_frequency,0.025,11268,703,282,3,0.004267425320056899,0.010638297872340425,0.062389066382676606,0.17051542023546504,0.0030967208295923873,0.0007249824418314869,130991.0,42299906.0,32.0,44139.0
2014,historical_frequency,0.05,11268,703,564,6,0.008534850640113799,0.010638297872340425,0.062389066382676606,0.17051542023546504,0.0031223946455105596,0.003239765286934457,132077.0,42299906.0,143.0,44139.0
2014,historical_frequency,0.1,11268,703,1127,6,0.008534850640113799,0.005323868677905945,0.062389066382676606,0.08533336025980681,0.003213789647664938,0.0038288135209225403,135943.0,42299906.0,169.0,44139.0
2014,historical_frequency,0.2,11268,703,2254,11,0.015647226173541962,0.0048802129547471165,0.062389066382676606,0.07822224690482292,0.005782093227346651,0.006717415437594871,244582.0,42299906.0,296.5,44139.0
2015,hierarchical_review_rule,0.01,11011,685,111,82,0.11970802919708029,0.7387387387387387,0.0622105167559713,11.874820806207667,0.09273957945489043,0.20322460126910388,4529246.0,48838328.0,7017.0,34528.3
2015,hierarchical_review_rule,0.025,11011,685,276,166,0.24233576642335766,0.6014492753623188,0.0622105167559713,9.66796784089707,0.42540733581215145,0.49721532771668453,20776183.0,48838328.0,17168.0,34528.3
2015,hierarchical_review_rule,0.05,11011,685,551,277,0.4043795620437956,0.5027223230490018,0.0622105167559713,8.08098613006213,0.5929864142769179,0.705508235273674,28960465.0,48838328.0,24360.0,34528.3
2015,hierarchical_review_rule,0.1,11011,685,1102,407,0.5941605839416059,0.36932849364791287,0.0622105167559713,5.93675334825864,0.8165449685337303,0.8056579675222932,39878691.0,48838328.0,27818.0,34528.3
2015,hierarchical_review_rule,0.2,11011,685,2203,527,0.7693430656934307,0.2392192464820699,0.0622105167559713,3.845318427757769,0.9405648571752907,0.8729650750254139,45935615.0,48838328.0,30142.0,34528.3
2015,historical_frequency,0.01,11011,685,111,0,0.0,0.0,0.0622105167559713,0.0,1.818244064375013e-05,0.0009846995073606287,888.0,48838328.0,34.0,34528.3
2015,historical_frequency,0.025,11011,685,276,1,0.00145985401459854,0.0036231884057971015,0.0622105167559713,0.058240770125885966,0.0002958332234469616,0.0010715847580100959,14448.0,48838328.0,37.0,34528.3
2015,historical_frequency,0.05,11011,685,551,2,0.00291970802919708,0.003629764065335753,0.0622105167559713,0.058346470253156174,0.0030987137807010918,0.021344809909552453,151336.0,48838328.0,737.0,34528.3
2015,historical_frequency,0.1,11011,685,1102,3,0.004379562043795621,0.0027223230490018148,0.0622105167559713,0.04375985268986713,0.0031375767000049633,0.02238743291734606,153234.0,48838328.0,773.0,34528.3
2015,historical_frequency,0.2,11011,685,2203,13,0.01897810218978102,0.005901044030866999,0.0622105167559713,0.09485605229762997,0.006298086208029071,0.02567459156691757,307588.0,48838328.0,886.5,34528.3
