test_year,operation_stratum,score,budget_share,test_component_records,target_records,selected_component_records,captured_target_records,capture_rate,selected_target_rate,overall_target_rate,lift,weighted_capture_rate,weighted_lift
2005,all matched,airport_operations_only,0.1,4037,317,404,27,0.08517350157728706,0.06683168316831684,0.07852365618033193,0.8511025392760097,0.07636440466320195,0.8421154404771544
2005,low operations,airport_operations_only,0.05,898,93,45,9,0.0967741935483871,0.2,0.10356347438752785,1.9311827956989247,0.093891856968685,1.9447369207998457
2005,low operations,airport_operations_only,0.1,898,93,90,13,0.13978494623655913,0.14444444444444443,0.10356347438752785,1.394743130227001,0.13583075601666228,1.4036203589956957
2005,medium operations,airport_operations_only,0.05,1525,121,77,5,0.04132231404958678,0.06493506493506493,0.07934426229508197,0.8183964795535043,0.04005474795107775,0.8237352352649729
2005,medium operations,airport_operations_only,0.1,1525,121,153,20,0.1652892561983471,0.13071895424836602,0.07934426229508197,1.6474909523037866,0.16059948978611607,1.6602992427735832
2005,high operations,airport_operations_only,0.05,1614,103,81,5,0.04854368932038835,0.06172839506172839,0.06381660470879802,0.9672779575692196,0.04593516505629347,0.9689832814423964
2005,high operations,airport_operations_only,0.1,1614,103,162,16,0.1553398058252427,0.09876543209876543,0.06381660470879802,1.5476447321107514,0.14753514473253015,1.5526620487118714
2006,all matched,component_transition_score,0.05,4275,341,214,115,0.33724340175953077,0.5373831775700935,0.07976608187134503,6.736988516457917,0.33963504463185146,6.713911516286023
2006,all matched,component_transition_score,0.1,4275,341,428,180,0.5278592375366569,0.4205607476635514,0.07976608187134503,5.272425795488805,0.5316649479583451,5.280182540813274
2006,low operations,component_transition_score,0.05,1056,86,53,27,0.313953488372093,0.5094339622641509,0.08143939393939394,6.255375164545853,0.31670883887065654,6.2345069196205225
2006,low operations,component_transition_score,0.1,1056,86,106,52,0.6046511627906976,0.49056603773584906,0.08143939393939394,6.023694602896008,0.6038130424800892,5.971260986741432
2006,medium operations,component_transition_score,0.05,1594,129,80,42,0.32558139534883723,0.525,0.0809284818067754,6.4872093023255815,0.32506915661888885,6.5092413957334285
2006,medium operations,component_transition_score,0.1,1594,129,160,64,0.49612403100775193,0.4,0.0809284818067754,4.942635658914729,0.4958526437497801,4.957594754771023
2006,high operations,component_transition_score,0.05,1625,126,82,43,0.3412698412698413,0.524390243902439,0.07753846153846154,6.76296941540844,0.34291590056724414,6.7479437903300905
2006,high operations,component_transition_score,0.1,1625,126,163,63,0.5,0.38650306748466257,0.07753846153846154,4.984662576687116,0.5019952882545259,4.978976455318608
2006,all matched,airport_operations_only,0.05,4275,341,214,15,0.04398826979472141,0.07009345794392523,0.07976608187134503,0.8787376325814673,0.03910737167415313,0.8789805802190097
2006,all matched,airport_operations_only,0.1,4275,341,428,23,0.06744868035190615,0.053738317757009345,0.07976608187134503,0.6736988516457917,0.060437478110966836,0.6693147588909171
2006,low operations,airport_operations_only,0.05,1056,86,53,0,0.0,0.0,0.08143939393939394,0.0,0.0,0.0
2006,low operations,airport_operations_only,0.1,1056,86,106,5,0.05813953488372093,0.04716981132075472,0.08143939393939394,0.5792014041246161,0.055326337836646096,0.5766060286998637
2006,medium operations,airport_operations_only,0.05,1594,129,80,10,0.07751937984496124,0.125,0.0809284818067754,1.5445736434108528,0.07496483225455332,1.5492942997339454
2006,medium operations,airport_operations_only,0.1,1594,129,160,19,0.14728682170542637,0.11875,0.0809284818067754,1.46734496124031,0.14256512863190948,1.4714841104370016
2006,high operations,airport_operations_only,0.05,1625,126,82,4,0.031746031746031744,0.04878048780487805,0.07753846153846154,0.6291134339914828,0.029840190623172266,0.6264070658328005
2006,high operations,airport_operations_only,0.1,1625,126,163,9,0.07142857142857142,0.05521472392638037,0.07753846153846154,0.7120946538124452,0.06724896580293577,0.709019109726483
2007,all matched,component_transition_score,0.05,4530,317,227,112,0.35331230283911674,0.4933920704845815,0.06997792494481236,7.05068163815506,0.35103801064650336,7.023201872906402
2007,all matched,component_transition_score,0.1,4530,317,453,175,0.5520504731861199,0.38631346578366443,0.06997792494481236,5.520504731861198,0.5495947918589085,5.4706909451856065
2007,low operations,component_transition_score,0.05,1187,82,60,27,0.32926829268292684,0.45,0.06908171861836562,6.514024390243903,0.3262506841582165,6.48913769412214
2007,low operations,component_transition_score,0.1,1187,82,119,38,0.4634146341463415,0.31932773109243695,0.06908171861836562,4.622463619594179,0.4617589998106782,4.617742380898464
2007,medium operations,component_transition_score,0.05,1727,110,87,43,0.39090909090909093,0.4942528735632184,0.06369426751592357,7.759770114942529,0.3893061675571487,7.7570117933866705
2007,medium operations,component_transition_score,0.1,1727,110,173,68,0.6181818181818182,0.3930635838150289,0.06369426751592357,6.171098265895954,0.6179139193816147,6.177967989925606
2007,high operations,component_transition_score,0.05,1616,125,81,46,0.368,0.5679012345679012,0.07735148514851485,7.3418271604938266,0.36760698232467737,7.347867531121471
2007,high operations,component_transition_score,0.1,1616,125,162,70,0.56,0.43209876543209874,0.07735148514851485,5.5861728395061725,0.5602194864088872,5.587134125606559
2007,all matched,airport_operations_only,0.05,4530,317,227,20,0.06309148264984227,0.0881057268722467,0.06997792494481236,1.2590502925276894,0.0564609580189286,1.2628584082141983
2007,all matched,airport_operations_only,0.1,4530,317,453,33,0.10410094637223975,0.0728476821192053,0.06997792494481236,1.0410094637223974,0.0940777746803077,1.0406259332776597
2007,low operations,airport_operations_only,0.05,1187,82,60,1,0.012195121951219513,0.016666666666666666,0.06908171861836562,0.24126016260162603,0.011618469567351063,0.24022240457936708
2007,low operations,airport_operations_only,0.1,1187,82,119,5,0.06097560975609756,0.04201680672268908,0.06908171861836562,0.6082188973150237,0.0582452163831806,0.606423880151743
2007,medium operations,airport_operations_only,0.05,1727,110,87,10,0.09090909090909091,0.11494252873563218,0.06369426751592357,1.8045977011494252,0.08803986030981731,1.8125023271941156
2007,medium operations,airport_operations_only,0.1,1727,110,173,17,0.15454545454545454,0.09826589595375723,0.06369426751592357,1.5427745664739885,0.14979667424306606,1.549433015507635
2007,high operations,airport_operations_only,0.05,1616,125,81,6,0.048,0.07407407407407407,0.07735148514851485,0.9576296296296296,0.045263899629098374,0.9574290265793268
2007,high operations,airport_operations_only,0.1,1616,125,162,14,0.112,0.08641975308641975,0.07735148514851485,1.1172345679012345,0.10613625789727775,1.1165679098200727
2008,all matched,component_transition_score,0.05,4255,323,213,122,0.37770897832817335,0.5727699530516432,0.07591069330199765,7.545313158621492,0.3790588126955029,7.575625316989886
2008,all matched,component_transition_score,0.1,4255,323,426,185,0.5727554179566563,0.43427230046948356,0.07591069330199765,5.7208316981351475,0.5714251827473085,5.722543781847175
2008,low operations,component_transition_score,0.05,1295,91,65,38,0.4175824175824176,0.5846153846153846,0.07027027027027027,8.319526627218934,0.4162655256889527,8.293760948988504
2008,low operations,component_transition_score,0.1,1295,91,130,52,0.5714285714285714,0.4,0.07027027027027027,5.6923076923076925,0.5698998656028288,5.669770416501989
2008,medium operations,component_transition_score,0.05,1588,121,80,46,0.38016528925619836,0.575,0.07619647355163728,7.546280991735537,0.3804014141462931,7.56469229036243
2008,medium operations,component_transition_score,0.1,1588,121,159,68,0.5619834710743802,0.4276729559748428,0.07619647355163728,5.612765736264879,0.563498786704463,5.614434667958592
2008,high operations,component_transition_score,0.05,1372,111,69,39,0.35135135135135137,0.5652173913043478,0.08090379008746355,6.986290638464551,0.3518689380729606,6.974950515426299
