test_year,score,budget_share,test_component_records,selected_component_records,target_records,captured_target_records,damage_capture_rate,selected_damage_rate,damage_lift,hard_records,captured_hard_records,hard_capture_rate,selected_hard_rate,hard_lift,total_event_cost,selected_event_cost,event_cost_capture_rate,total_event_aos,selected_event_aos,event_aos_capture_rate
2002,posterior_event_tail_burden,0.05,5710,286,787,163,0.2071156289707751,0.5699300699300699,4.135070774206733,1526,232,0.15203145478374835,0.8111888111888111,3.0353133105426684,38007540.0,23610797.0,0.6212135013210537,49390.0,37045.0,0.7500506175339138
2002,posterior_event_tail_burden,0.1,5710,571,787,305,0.3875476493011436,0.5341506129597198,3.8754764930114356,1526,444,0.290956749672346,0.7775831873905429,2.90956749672346,38007540.0,33722560.0,0.8872597384624209,49390.0,40962.0,0.8293581696699737
2002,risk_guarded_tail_burden,0.05,5710,286,787,184,0.2337992376111817,0.6433566433566433,4.667809953705761,1526,239,0.1566186107470511,0.8356643356643356,3.1268960397400765,38007540.0,24290776.0,0.6391041356530835,49390.0,37247.0,0.7541405142741445
2002,risk_guarded_tail_burden,0.1,5710,571,787,323,0.4104193138500635,0.5656742556917689,4.104193138500635,1526,441,0.2889908256880734,0.7723292469352014,2.889908256880734,38007540.0,32820325.0,0.8635214223283064,49390.0,40570.0,0.8214213403522981
2003,hierarchical_component_transition,0.05,5953,298,758,173,0.22823218997361477,0.5805369127516778,4.559282640647411,1481,217,0.14652261985145174,0.7281879194630873,2.927010590522457,40599482.0,18965142.0,0.46712768404286537,37664.0,20217.0,0.5367725148683092
2003,hierarchical_component_transition,0.1,5953,596,758,307,0.4050131926121372,0.5151006711409396,4.045375059765189,1481,409,0.2761647535449021,0.6862416107382551,2.7584039896859096,40599482.0,24965532.0,0.6149224268427859,37664.0,25753.0,0.6837563721325404
2003,component_phase_size_mass_rate,0.05,5953,298,758,163,0.21503957783641162,0.5469798657718121,4.295740291477041,1481,215,0.14517218095881163,0.7214765100671141,2.900033534388609,40599482.0,20175567.0,0.4969414880712025,37664.0,19032.0,0.5053101104502974
2003,component_phase_size_mass_rate,0.1,5953,596,758,283,0.3733509234828496,0.4748322147651007,3.7291242407607443,1481,387,0.2613099257258609,0.6493288590604027,2.6100301809497486,40599482.0,23088874.0,0.5686987336439415,37664.0,23635.0,0.6275223024638913
2003,component_phase_size_mass_frequency,0.05,5953,298,758,37,0.048812664907651716,0.12416107382550336,0.9751066919303712,1481,42,0.02835921674544227,0.14093959731543623,0.566518178810798,40599482.0,2845885.0,0.0700965839908992,37664.0,88.0,0.002336448598130841
2003,component_phase_size_mass_frequency,0.1,5953,596,758,57,0.07519788918205805,0.09563758389261745,0.7510956951355562,1481,75,0.05064145847400405,0.12583892617449666,0.5058198025096412,40599482.0,3205159.0,0.07894581019531234,37664.0,167.0,0.0044339422259983005
